time to NEB,1i,1ii,4i,4ii,,1i,1ii,2i,2ii,3i,3ii,,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii
-3960,,,_brownDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r,_blue_,_blue_,_brown_r,_brown_r,,,_blue_,_blueDark_g,,
-3840,,,_brownDark_r,_brown_r,,,,_blue_,_blue_,,,,_brownDark_r,_brownDark_r,,,_blueDark_g,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,,,_blueDark_r,_blue_,,
-3720,,,_brownDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,,
-3600,,,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,,,,_brownDark_r,_blueDark_r,,,_blueDark_g,_blueDark_r,_blue_,_blue_,_blueDark_r,_brownDark_g,,,_brownDark_r,_blue_,,
-3480,,,_blueDark_r,_blueDark_g,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blueDark_r,,,_blueDark_g,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_pink_,_brown_r,_blue_,_pink_,_blueDark_g,,
-3360,,,_blue_,_brownDark_g,,,,_blue_,_blue_,,,,_pink_,_blueDark_r,,,_blue_,_blueDark_r,_blue_,,_blueDark_g,_pink_,_blueDark_r,_brownDark_r,_pink_,_blue_,,
-3240,,,_blue_,_blue_,,,,_blueDark_r,_blue_,,_blue_,,_brownDark_r,_pink_,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_pink_,_blueDark_r,_blueDark_r,_brownDark_g,_blueDark_r,,
-3120,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,,_blueDark_g,,_brownDark_r,_blueDark_r,,,_blueDark_r,,_blue_,_blue_,_blueDark_g,_blueDark_r,_brownDark_r,_blueDark_r,_blue_,_blue_,,
-3000,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,,_brownDark_r,_brownDark_r,,,_blue_,,_pink_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,,
-2880,,,_blueDark_r,_blue_,,,,_blueDark_g,_blueDark_r,_blue_,_pink_,,_blue_,_blue_,,,_pink_,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_pink_,_blue_,_blueDark_r,,
