time to NEB,1i,1ii,2i,2ii,4i,4ii,5,6,7i,7ii,1,3,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8,3i,3ii,4i,4ii,5i,5ii,6,8,9,10,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7,8,9i,9ii,10i,10ii,10iii,11i,11ii
-6780,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,,_blueDark_r,_brown_r,,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,_pink_
-6720,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,,,_blue_,_brown_r,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_blueDark_r,_blueDark_r
-6660,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,_blue_,_blue_
-6600,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_blue_,,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_g,_blueDark_g
-6540,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,_blueDark_r,_brownDark_r,,,,,_blue_,_blueDark_r,,,,_blueDark_r,_pink_,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,_pink_
-6480,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_brownDark_r,,,,,_blue_,_brownDark_r,,,,_brownDark_r,_pink_,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,_blue_,_blue_
-6420,,,_blue_,_blueDark_r,_blue_,_pink_,,,,,,,_pink_,_blue_,,,,,_blueDark_r,_blueDark_r,,,,_brownDark_r,_blueDark_g,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,_blue_
-6360,,,_blue_,_blue_,_blueDark_r,_blueDark_r,,,,,,,_brownDark_r,_blue_,,,,,_blue_,_blue_,,,,_blueDark_r,_brownDark_g,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,_blue_,_blueDark_g
-6300,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blue_,,,,,_blueDark_r,_blue_,,,,_blueDark_r,_brownDark_g,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-6240,,,_blue_,_blueDark_r,_blue_,_blue_,,,,,,,_blueDark_r,_brownDark_r,,,,,_blue_,_blueDark_r,,,,_blue_,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-6180,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_blueDark_r,,,,,_blue_,_blue_,,,,_blue_,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-6120,,,_brown_r,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_blueDark_r,,,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-6060,,,_brown_r,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-6000,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_g,,,,,,,,,,,,,,,,_blueDark_g,,,,,,,,_pink_,_blueDark_r
-5940,,,_brown_r,_blue_,_blue_,_blue_,,,,,,,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,,,,_blue_,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-5880,,,_brown_r,_blue_,_blueDark_r,_blueDark_g,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,,,_blueDark_r,_blueDark_r,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-5820,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,,,,,_blueDark_r,_pink_,_blueDark_r,_blue_,,,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-5760,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,,,_blue_,_blue_,,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-5700,,,_blue_,_blue_,_blueDark_r,_blueDark_r,,,,,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,,,,_brownDark_r,_blueDark_r,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,_blue_,_blue_
-5640,,,_blue_,_blue_,_blueDark_r,_blue_,,_brown_g,,,,,_blue_,_blueDark_r,_pink_,_blue_,,,_blue_,_blue_,,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
