time to NEB,1i,1ii,1iii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,1,2i,2ii,3i,3ii,4i,4ii,5,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii,1i,1ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii
-6420,,,,,,_brownDark_r,_blueDark_r,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,_blueDark_r,_brownDark_g,,,_pink_,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,,,_blue_,_blue_
-6360,,,,,,_brownDark_r,_blueDark_r,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,_blue_,_blueDark_g,,,_blue_,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,,,_blue_,_blue_
-6300,,,,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,_blueDark_g,_blue_,,,_blue_,_blueDark_g,,,_blue_,_blueDark_r,,,,,_blueDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blue_,,,_blue_,_blue_
-6240,,,,,,_brownDark_r,_blue_,,,,,,,,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_g,,,_blue_,_blueDark_r,,,,,_blueDark_r,_blue_,,,,,,,,,,,_blue_,_blue_,,,_blue_,_blue_
-6180,,,,,,_brown_r,_blue_,,,,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_g,,,_blue_,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,,,_blue_,_blue_
-6120,,,,,,_brown_r,_blue_,,,,,,,,,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blueDark_g,_blueDark_g,,,_blueDark_r,_blue_,,,,,_brownDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blue_,,,_blue_,_blue_
-6060,,,,,,_blue_,_blue_,,,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_blue_,,,_blue_,_blue_,,,,,_brownDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_blue_
-6000,,,,,,_blue_,_blue_,,,,,,,,,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,,,_blueDark_r,_blue_,,,_blue_,_blue_,,,,,_brownDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_blue_
-5940,,,,,,_blue_,_blue_,,,,,,,,_pink_,_blueDark_r,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blue_,_blue_,,,_blue_,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,_blue_,_blue_
-5880,,,,,,_brownDark_r,_blueDark_r,,,,,,,,_blue_,_pink_,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blueDark_r,_blueDark_g,,,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,_blueDark_g,_blue_
-5820,,,,,,_blue_,_blueDark_r,,,,,,,,_blueDark_r,_pink_,,,,_blueDark_r,_blue_,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,_pink_,_blueDark_g,,,_blue_,_blue_,_blue_,_blue_,,,,,,,,,,,_brownDark_r,_blueDark_g,,,_blue_,_blueDark_r
-5760,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_pink_,_blueDark_r,,,,_blue_,_pink_,_blue_,_blue_,,,_blue_,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,,,,,_brownDark_r,_blue_,,,_blueDark_r,_blueDark_r
-5700,,,,,,_brownDark_r,_blueDark_r,,,,,,,,_pink_,_pink_,,,,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,,,_blue_,_blueDark_r,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blueDark_r,,,_blue_,_blue_
-5640,,,,,,_brownDark_r,_blue_,,,,,,,,_blue_,_blueDark_r,,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,_blue_,_pink_,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,_blue_,_blueDark_r
-5580,,,,,,_brownDark_r,_blue_,,,,,,_blueDark_r,_blue_,_blue_,_brownDark_r,,,,_blue_,_blue_,_blue_,_blue_,,,_pink_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,,,,,,,,,_blue_,_blue_,,,_blueDark_r,_brownDark_r
