time to NEB,1,2i,2ii,3i,3ii,4,5i,5ii,2,4,5i,5ii,6,7i,7ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii
-5460,_brownDark_r,_blueDark_r,_blue_,,,,_blue_,_brownDark_r,_pink_,_blueDark_g,,,,,,,,,,,,_brownDark_r,_blue_,,,_blue_,_brownDark_r
-5400,_brownDark_r,_blueDark_r,_brownDark_r,,,,_brownDark_r,_blueDark_r,_blueDark_r,_brownDark_g,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r
-5340,_brownDark_r,_blueDark_r,_brownDark_r,,,,_brownDark_r,_blue_,_blue_,_blue_,,,,,,,,,,,,_brownDark_r,_blue_,,,_blue_,_pink_
-5280,_brownDark_r,_brownDark_r,_brownDark_r,,,,_brownDark_r,_blue_,_blueDark_g,_blueDark_g,,,,,,,,,,,,_pink_,_blue_,,,_blueDark_r,_brownDark_r
-5220,_brownDark_r,_brownDark_r,_blueDark_r,,,,_brownDark_r,_blueDark_r,_pink_,_blueDark_g,,,,,,,,,,,,_pink_,_blueDark_r,,,_pink_,
-5160,_brownDark_r,_blueDark_r,_blue_,,,,_brownDark_r,_blue_,_blue_,_blue_,,,,,,,,,,,,_pink_,_blue_,,,_blue_,_brownDark_r
-5100,_brownDark_r,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blue_,_blue_,_blueDark_g,,,,,,,,,,,,_pink_,_blueDark_r,,,_brownDark_r,_pink_
-5040,_brownDark_r,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_g,,,,,,,,,,,,_pink_,_blueDark_r,,,_blue_,_pink_
-4980,_blue_,_blue_,_blueDark_r,,,,_blueDark_r,_blueDark_r,_blueDark_r,,,,,,,,,,,,,_pink_,_blue_,,,_blue_,_brownDark_r
-4920,_brownDark_r,_blue_,_brownDark_r,,,,_blueDark_r,_brownDark_r,_pink_,,,,,,,,,,,,,_pink_,_blueDark_r,,,_blue_,_pink_
-4860,_blueDark_r,_blue_,_brownDark_r,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,_pink_,_blue_,,,_blueDark_r,_brownDark_r
-4800,_blueDark_r,_blue_,_brownDark_r,,,,_blue_,_brownDark_r,,_blue_,,,,,,,,,,_blue_,_blue_,_pink_,_blue_,,,_blueDark_r,_pink_
-4740,_brownDark_r,_blue_,_blueDark_r,,,,_blue_,_blueDark_r,,_brownDark_g,,,,,,,,,,_blue_,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_pink_
-4680,_brownDark_r,_blue_,_blueDark_r,,,,_blueDark_g,_blue_,,_brownDark_g,,,,,,,,,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_brownDark_g
-4620,_brownDark_r,_blue_,_blue_,,,,_blue_,_blue_,,,,,,,,,,,,_blue_,_blue_,_pink_,_blue_,,,_blue_,_pink_
-4560,_brownDark_r,_blue_,_blueDark_r,,,,_blue_,_brownDark_r,,,,,,_brownDark_r,_pink_,,,,,_blue_,_blueDark_r,_pink_,_blue_,,,_blue_,_blueDark_r
-4500,_pink_,_blue_,_blue_,,,,_blue_,_blueDark_r,,,,,,_blueDark_r,_blueDark_g,,,,,_pink_,_blue_,_brownDark_r,_blueDark_g,,,_blue_,
-4440,_blueDark_r,_blue_,_blueDark_g,,,,_blue_,_blue_,,_blueDark_r,,,,_brown_r,_blueDark_r,,,,,_brownDark_r,_brownDark_r,_brownDark_r,_blueDark_g,,,_blue_,_blueDark_r
-4380,_brownDark_r,_brown_r,_brownDark_r,,,,_blue_,_brownDark_r,,_pink_,,,,_brownDark_r,_blue_,,,,,_brownDark_r,_blue_,_brownDark_r,_blueDark_g,,,_blue_,
-4320,_blueDark_r,_blueDark_r,_brownDark_r,,,,_blue_,_blueDark_r,_blueDark_g,_pink_,,,_blueDark_g,_brownDark_r,_blue_,,,,,_brownDark_r,_blueDark_r,_brownDark_r,_blueDark_g,,,_blueDark_r,_blue_
-4260,_brownDark_r,_brownDark_r,_brownDark_r,,,,_blue_,_blue_,_brownDark_g,_blue_,,,_blueDark_r,_pinkDark_,_blueDark_r,,,,,_pink_,_blueDark_r,_brownDark_r,_blueDark_g,,,_blueDark_r,_blueDark_r
-4200,_blueDark_r,_blueDark_r,_brownDark_r,,,_pink_,_blue_,_blueDark_r,_blue_,_brownDark_g,,,_blue_,_brownDark_r,_blue_,,,,,_blueDark_r,_brown_r,_brownDark_r,_pink_,,,_blueDark_r,
-4140,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_g,_blue_,_blue_,_blueDark_r,_pinkDark_,,,_brown_r,_blue_,_blue_,,,,,_blueDark_r,_blue_,_blueDark_r,_pink_,,,_blue_,_blue_
-4080,_brownDark_r,_blueDark_r,_brownDark_r,,,_brown_r,_blue_,_blueDark_r,_blue_,,,,_brown_r,_brownDark_r,_pink_,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_g,,,_blue_,_blueDark_r
-4020,_pink_,_blueDark_r,_brownDark_r,,,_pink_,_blue_,_blue_,_blue_,_blueDark_g,,,_blueDark_r,_brownDark_r,_blue_,,,,,_brownDark_r,_blue_,_brownDark_r,_pink_,,,_blue_,_blueDark_r
-3960,_blueDark_r,_pink_,_blueDark_r,,,_pink_,_blue_,_blueDark_r,_blue_,_blueDark_g,,,_blue_,_brownDark_r,_blue_,,,,,_blueDark_r,_blueDark_r,_pink_,_blue_,,,_blue_,_blueDark_r
-3900,_blueDark_r,_pink_,_blueDark_r,,,_pink_,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_brownDark_r,_brownDark_r,,,,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,,,_brownDark_r,
-3840,_pink_,_brownDark_r,_blueDark_r,,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_pink_,,,_blueDark_r,_blueDark_r,_brownDark_r,,,,,_brownDark_r,_blue_,_brownDark_r,_blue_,,,_blue_,_blue_
-3780,_blueDark_r,_blueDark_r,_blueDark_r,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blueDark_g,,,_blueDark_r,_blueDark_r,_blueDark_r,,,,,_blue_,_brown_r,_brownDark_r,_blue_,,,,_blue_
-3720,_brownDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blue_,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_pink_,_blue_
-3660,_brownDark_r,_blue_,_blueDark_r,,,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_blue_
-3600,_brownDark_r,_brownDark_r,_blueDark_r,,,_pink_,_blue_,_blueDark_r,_blueDark_r,_blueDark_g,,,_blue_,_blueDark_r,_blue_,,,,,_brownDark_r,_blue_,_brownDark_r,_blue_,,,_blue_,_brownDark_r
-3540,_brownDark_r,_brown_r,_brownDark_r,,,_pink_,_blueDark_r,_blueDark_r,_brownDark_r,_blueDark_g,,,_blue_,_blue_,_blue_,,,,,_pink_,_blue_,_brownDark_r,_blue_,,,_blue_,_blue_
