time to NEB,1,4,5i,5ii,6i,6ii,7i,7ii,8,2,3,4i,4ii,2i,2ii,3,4i,4ii,6i,6ii,10,1i,1ii,2i,2ii,5i,5ii,6,7,8i,8ii,11i,11ii,12,13i,13ii,14i,14ii,15i,15ii
-6060,,,,,,,,,_blue_,,,_blue_,_blue_,,,,,,_brownDark_r,_blueDark_g,,,,,,,,_brown_r,,,,_brownDark_r,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-6000,,,,,,,,,_blue_,,,_brownDark_r,_blue_,,,,,,_blue_,_pink_,,,,,,,,_brownDark_r,,,,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-5940,,,,,,,,,_blue_,,,_blueDark_r,_blueDark_r,,,,,,_blue_,_blueDark_r,,,,,,,,_brownDark_r,,,,_brownDark_r,_blue_,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r
-5880,,,,,,,,,_blue_,,,_blue_,_blueDark_r,,,,,,_brown_r,_blue_,,,,,,,,_brownDark_r,,,,_blue_,_brownDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_r
-5820,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_blueDark_r,,,,_blue_,_brownDark_r,,_blueDark_r,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_
-5760,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_brownDark_r,,,,,,_blueDark_r,_blue_,,,,,,,,_brownDark_r,,,,_blue_,_brownDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r
-5700,,,,,_blue_,_blue_,,,_blue_,,,_blueDark_r,_blue_,,,,,,_blueDark_r,_blue_,,,,,,,,_brownDark_r,,,,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blue_
-5640,,,,,_blue_,_blueDark_r,,,_blue_,,,_blue_,_brownDark_r,,,,,,_blue_,_blueDark_r,,,,,,,,_brownDark_r,,,,_blue_,_brownDark_r,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_
-5580,,,,,_blue_,_blueDark_r,,,_blue_,,,_blueDark_r,_brownDark_r,,,,,,_blueDark_g,_blueDark_r,,,,,,,,_brownDark_r,,_pink_,_brownDark_g,_blue_,_blueDark_r,,_brownDark_r,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_
-5520,,,,,_blue_,_pink_,,,_blue_,,,_blue_,_blueDark_r,,,,,,_blue_,_blue_,,,,,,,,_pink_,,_pinkDark_,_pink_,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blue_
-5460,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blueDark_r,,,,,,_blue_,_blueDark_r,,,,,,,,_brownDark_r,,_pink_,_blue_,_blueDark_r,_brownDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_
-5400,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blue_,,,,,,_blueDark_r,_blue_,,,,,,,,_pink_,,_pink_,_brown_g,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_
-5340,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blue_,,,,,,_blue_,_blue_,,,,,,,,_blue_,,_brownDark_r,_blueDark_g,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-5280,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_pinkDark_,_blueDark_g,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-5220,,,,,_blue_,_blue_,,,_blueDark_r,,,_blue_,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_pinkDark_,_blueDark_g,_blue_,_brownDark_r,,_pink_,_blueDark_r,_blue_,_blue_,_blue_,_blue_
-5160,,,,,_blue_,_blue_,,,_blueDark_r,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_pink_,_blue_,_blue_,_brownDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_g
