time to NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8820,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8760,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8700,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8640,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8160,,,,,,,,,,,,,,,,,,_brown_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8100,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8040,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7980,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7920,,,,,,,,,,,,,,,,,,_blue_,,,,,,_brown_r,_blue_,,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,,,
-7860,,,,,,,,,,,,,,,,,,_blue_,,,,,,_brown_r,_blueDark_r,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,
-7800,,,,,,,,,,,,,,,,,,_blue_,,,,,,_brown_r,_blueDark_r,,,,,,,,,,_brownDark_r,,,,,,,,,,,,,,,,,,,,,
-7740,,,,,,,,,,,,,,,,,,_blue_,,,,,,_brown_r,_blueDark_r,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,
-7680,,,,,,,,,,,,,,,,,,_blue_,,,,,,_blueDark_r,_blue_,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,
-7620,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,_pink_,_blue_,,,,,,,,,,_brownDark_r,,,,,,,,,,,,,,,,,,,,,
-7560,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,_blueDark_r,_blue_,,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,,,
