time to NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8400,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8340,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8280,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8220,_blue_,_pink_,_pink_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8160,_blue_,_brownDark_r,_pink_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8100,_blue_,_blueDark_g,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8040,_blueDark_r,_blueDark_g,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7980,_blue_,_pink_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7920,_blue_,_brownDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7860,_blueDark_r,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7800,_brownDark_r,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7740,_blue_,_brownDark_r,_blue_,ICRF,ICRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7680,_pink_,_brown_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7620,_blueDark_r,_pink_,_pink_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7560,_pink_,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7500,_pink_,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7440,_blueDark_g,_blue_,_blueDark_r,_brownDark_g,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7380,_blue_,_blue_,_pink_,_blueDark_g,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7320,_brownDark_r,_blueDark_g,_blueDark_r,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7260,_pink_,_blueDark_r,_pink_,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7200,_blue_,_blue_,_blueDark_g,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7140,_blueDark_r,,_blue_,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7080,_blue_,_pinkDark_,_pink_,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
