time to NEB,1i,1ii,1,2,3,1i,1ii,2,3i,3ii,1,2,3,5i,5ii,6i,6ii,1i,1,3,4,5i,1,2i,2ii,4i,4ii,5i,5ii,6i,6ii,1i,1ii,2,3,4,5i,5ii,1,3i,3ii,4,5i,5ii,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6ii,7i,7ii,,
-6480,_blueDark_r,_brownDark_r,,,,,,,,,,,,,,,,_pinkDark_,,,,,,,,,,,,_blue_,_blue_,,,,,,_blue_,_blue_,,,,_blueDark_r,,_blueDark_r,,,,,,,,,,,,,
-6420,_blueDark_r,_brown_r,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,_blue_,_blue_,,,,,,_blueDark_r,_blue_,,,,_blueDark_r,_blueDark_r,_blue_,,,,,,,,,,,,,
-6360,_brown_r,_brownDark_r,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,_blue_,_blue_,,,,,,_blueDark_r,_blueDark_r,,,,_blue_,_brown_r,_blueDark_r,,,,,,,,,,,,,
-6300,_pink_,_brownDark_r,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,_blue_,_blue_,,,,,,_blue_,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,,,
-6240,_blue_,_brown_r,,,,,,,,,,,,,,,,_pink_,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,_brown_r,_blue_,_blueDark_r,,,,_blue_,_blue_,,,,,,,,,,,,,
-6180,_blue_,_brown_r,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,_blue_,_blue_,,,,,,_pink_,_blue_,_blue_,,,,_blue_,_blue_,,,,,,,,,,,,,
-6120,_blueDark_r,_brown_r,_blue_,,,,,_pink_,,,,,,,,,,_pinkDark_,,,,,,,,,,,,,_brownDark_r,,,,,,_pink_,_blueDark_g,_blueDark_r,,,,_pink_,_blue_,,,,,,,,,,,,,
-6060,_brown_r,_brownDark_r,_blue_,,,,,_brownDark_r,,,,,,,,,,_pinkDark_,,,,,,,,,,,,,_blueDark_g,,,,,,_blueDark_r,_brownDark_r,_brownDark_r,,,,_pink_,_blueDark_r,,,,,,,,,,,,,
-6000,_blueDark_r,_pink_,_blueDark_r,,,,,_pink_,,,,,,,,,,_pink_,,,,,,,,,,,,,_blue_,,,,,,_blue_,_blue_,_blueDark_r,,,,_pink_,_blue_,,,,,,,,,,,,,
-5940,_blue_,_brownDark_r,_brown_r,,,,,_pink_,,,,,,,,,,_pinkDark_,,,,,,,,,,,,,_blue_,,,,,,_pink_,_blue_,_blueDark_r,,,,_blue_,_blue_,,,,,,,,,,,,,
