time to NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1200,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blueDark_g,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_
-1080,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-960,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_brown_r,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_g,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_
-840,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_g,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_
-720,_blueDark_r,_blue_,_blue_,_brownDark_r,_blueDark_r,_blue_,_blue_,_blue_,_pink_,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_brown_r,_blueDark_g,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,_pink_,_blue_,_blueDark_r,_blue_
-600,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_g,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_brownDark_r,_brownDark_r,_blue_,_blueDark_r,_blue_
-480,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_brown_r,_blueDark_g,_blueDark_r,_blue_
-360,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blueDark_g,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_g,_blue_,_blue_
-240,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_g,_blue_,_blueDark_g,_blueDark_g,_blue_,_blue_,_blue_,_pink_,_blue_,_blue_,_blueDark_r
-120,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_g,_blueDark_g,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brown_r,_blueDark_g,_blueDark_r,_blueDark_r
