time to NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blue_
-8880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blue_
-8820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_pink_,_blueDark_r
-8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r
-8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r
-8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8400,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8340,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8280,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8220,_blue_,,,,,,,,_pink_,_pink_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8160,_blue_,,,,,,,,_brownDark_r,_pink_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8100,_blue_,,,,,,,,_blueDark_g,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_
-8040,_blueDark_r,,,,,,,,_blueDark_g,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_
